Genre,period_active
Country,1954.0
Country,1955.0
Country,1956.0
Country,1957.0
Country,1958.0
Country,1959.0
Country,1960.0
Country,1961.0
Country,1962.0
Country,1963.0
Country,1964.0
Country,1965.0
Country,1966.0
Country,1967.0
Country,1968.0
Country,1969.0
Country,1970.0
Country,1971.0
Country,1972.0
Country,1973.0
Country,1974.0
Country,1975.0
Country,1976.0
Country,1977.0
Country,1978.0
Country,1979.0
Country,1980.0
Country,1981.0
Country,1982.0
Country,1983.0
Country,1984.0
Country,1985.0
Country,1986.0
Country,1987.0
Country,1988.0
Country,1989.0
Country,1990.0
Country,1991.0
Country,1992.0
Country,1993.0
Country,1994.0
Country,1995.0
Country,1996.0
Country,1997.0
Country,1998.0
Country,1999.0
Country,2000.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,1990.0
Country,1991.0
Country,1992.0
Country,1993.0
Country,1994.0
Country,1995.0
Country,1996.0
Country,1997.0
Country,1998.0
Country,1999.0
Country,2000.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,2004.0
Country,2005.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,2012.0
Country,2013.0
Country,2014.0
Country,2015.0
Country,2016.0
Country,2017.0
Country,2018.0
Country,2019.0
Country,2020.0
Country,2021.0
Country,2022.0
Country,2023.0
Country,1972.0
Country,1973.0
Country,1974.0
Country,1975.0
Country,1976.0
Country,1977.0
Country,1978.0
Country,1979.0
Country,1980.0
Country,1981.0
Country,1982.0
Country,1983.0
Country,1984.0
Country,1985.0
Country,1986.0
Country,1987.0
Country,1988.0
Country,1989.0
Country,1990.0
Country,1991.0
Country,1992.0
Country,1993.0
Country,1994.0
Country,1995.0
Country,1996.0
Country,1997.0
Country,1998.0
Country,1999.0
Country,2000.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,2004.0
Country,2005.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,2012.0
Country,2013.0
Country,2014.0
Country,2015.0
Country,2016.0
Country,2017.0
Country,2018.0
Country,2019.0
Country,2020.0
Country,2021.0
Country,2022.0
Country,2023.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,2004.0
Country,2005.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,2012.0
Country,2013.0
Country,2014.0
Country,2015.0
Country,2016.0
Country,2017.0
Country,2018.0
Country,2019.0
Country,2020.0
Country,2021.0
Country,2022.0
Country,2023.0
Country,1954.0
Country,1955.0
Country,1956.0
Country,1957.0
Country,1958.0
Country,1959.0
Country,1960.0
Country,1961.0
Country,1962.0
Country,1963.0
Country,1964.0
Country,1965.0
Country,1966.0
Country,1967.0
Country,1968.0
Country,1969.0
Country,1970.0
Country,1971.0
Country,1972.0
Country,1973.0
Country,1974.0
Country,1975.0
Country,1976.0
Country,1977.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,2012.0
Country,2013.0
Country,2014.0
Country,2015.0
Country,2016.0
Country,2017.0
Country,2018.0
Country,2019.0
Country,2020.0
Country,2021.0
Country,2022.0
Country,2023.0
Country,1989.0
Country,1990.0
Country,1991.0
Country,1992.0
Country,1993.0
Country,1994.0
Country,1995.0
Country,1996.0
Country,1997.0
Country,1998.0
Country,1999.0
Country,2000.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,2004.0
Country,2005.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,2012.0
Country,2013.0
Country,2014.0
Country,2015.0
Country,2016.0
Country,2017.0
Country,2018.0
Country,2019.0
Country,2020.0
Country,2021.0
Country,2022.0
Country,2023.0
Country,1967.0
Country,1968.0
Country,1969.0
Country,1970.0
Country,1971.0
Country,1972.0
Country,1973.0
Country,1974.0
Country,1975.0
Country,1976.0
Country,1977.0
Country,1978.0
Country,1979.0
Country,1980.0
Country,1981.0
Country,1982.0
Country,1983.0
Country,1984.0
Country,1985.0
Country,1986.0
Country,1987.0
Country,1988.0
Country,1989.0
Country,1990.0
Country,1991.0
Country,1992.0
Country,1993.0
Country,1994.0
Country,1995.0
Country,1996.0
Country,1997.0
Country,1998.0
Country,1999.0
Country,2000.0
Country,2001.0
Country,2002.0
Country,2003.0
Country,2004.0
Country,2005.0
Country,2006.0
Country,2007.0
Country,2008.0
Country,2009.0
Country,2010.0
Country,2011.0
Country,1958.0
Country,1959.0
Country,1960.0
Country,1961.0
