Genre,period_active
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,1995.0
Dance,1996.0
Dance,1997.0
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,1964.0
Dance,1965.0
Dance,1966.0
Dance,1967.0
Dance,1968.0
Dance,1969.0
Dance,1970.0
Dance,1971.0
Dance,1972.0
Dance,1973.0
Dance,1974.0
Dance,1975.0
Dance,1976.0
Dance,1977.0
Dance,1978.0
Dance,1979.0
Dance,1980.0
Dance,1981.0
Dance,1982.0
Dance,1983.0
Dance,1984.0
Dance,1985.0
Dance,1986.0
Dance,1987.0
Dance,1988.0
Dance,1989.0
Dance,1990.0
Dance,1991.0
Dance,1992.0
Dance,1993.0
Dance,1994.0
Dance,1995.0
Dance,1996.0
Dance,1997.0
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,1979.0
Dance,1980.0
Dance,1981.0
Dance,1982.0
Dance,1983.0
Dance,1984.0
Dance,1985.0
Dance,1986.0
Dance,1987.0
Dance,1988.0
Dance,1989.0
Dance,1990.0
Dance,1991.0
Dance,1992.0
Dance,1993.0
Dance,1994.0
Dance,1995.0
Dance,1996.0
Dance,1997.0
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,1964.0
Dance,1965.0
Dance,1966.0
Dance,1967.0
Dance,1968.0
Dance,1969.0
Dance,1970.0
Dance,1971.0
Dance,1972.0
Dance,1973.0
Dance,1974.0
Dance,1975.0
Dance,1976.0
Dance,1977.0
Dance,1978.0
Dance,1979.0
Dance,1980.0
Dance,1981.0
Dance,1982.0
Dance,1983.0
Dance,1984.0
Dance,1985.0
Dance,1986.0
Dance,1987.0
Dance,1988.0
Dance,1989.0
Dance,1990.0
Dance,1991.0
Dance,1992.0
Dance,1993.0
Dance,1994.0
Dance,1995.0
Dance,1996.0
Dance,1997.0
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Dance,1998.0
Dance,1999.0
Dance,2000.0
Dance,2001.0
Dance,2002.0
Dance,2003.0
Dance,2004.0
Dance,2005.0
Dance,2006.0
Dance,2007.0
Dance,2008.0
Dance,2009.0
Dance,2010.0
Dance,2011.0
Dance,2012.0
Dance,2013.0
Dance,2014.0
Dance,2015.0
Dance,2016.0
Dance,2017.0
Dance,2018.0
Dance,2019.0
Dance,2020.0
Dance,2021.0
Dance,2022.0
Dance,2023.0
Alternative rock,1980.0
Alternative rock,1981.0
Alternative rock,1982.0
Alternative rock,1983.0
Alternative rock,1984.0
Alternative rock,1985.0
Alternative rock,1986.0
Alternative rock,1987.0
Alternative rock,1988.0
Alternative rock,1989.0
Alternative rock,1990.0
Alternative rock,1991.0
Alternative rock,1992.0
Alternative rock,1993.0
Alternative rock,1994.0
Alternative rock,1995.0
Alternative rock,1996.0
Alternative rock,1997.0
Alternative rock,1998.0
Alternative rock,1999.0
Alternative rock,2000.0
Alternative rock,2001.0
Alternative rock,2002.0
Alternative rock,2003.0
Alternative rock,2004.0
Alternative rock,2005.0
Alternative rock,2006.0
Alternative rock,2007.0
Alternative rock,2008.0
Alternative rock,2009.0
Alternative rock,2010.0
Alternative rock,2011.0
Alternative rock,1987.0
Alternative rock,1988.0
Alternative rock,1989.0
Alternative rock,1990.0
Alternative rock,1991.0
Alternative rock,1992.0
Alternative rock,1993.0
Alternative rock,1994.0
Alternative rock,1995.0
Alternative rock,1996.0
Alternative rock,1997.0
Alternative rock,1998.0
Alternative rock,1999.0
Alternative rock,2000.0
Alternative rock,2001.0
