Genre,period_active
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1981.0
Hard rock,1982.0
Hard rock,1983.0
Hard rock,1984.0
Hard rock,1985.0
Hard rock,1986.0
Hard rock,1987.0
Hard rock,1988.0
Hard rock,1989.0
Hard rock,1990.0
Hard rock,1991.0
Hard rock,1992.0
Hard rock,1993.0
Hard rock,1994.0
Hard rock,1995.0
Hard rock,1996.0
Hard rock,1997.0
Hard rock,1998.0
Hard rock,1999.0
Hard rock,2000.0
Hard rock,2001.0
Hard rock,2002.0
Hard rock,2003.0
Hard rock,2004.0
Hard rock,2005.0
Hard rock,2006.0
Hard rock,2007.0
Hard rock,2008.0
Hard rock,2009.0
Hard rock,2010.0
Hard rock,2011.0
Hard rock,2012.0
Hard rock,2013.0
Hard rock,2014.0
Hard rock,2015.0
Hard rock,2016.0
Hard rock,2017.0
Hard rock,2018.0
Hard rock,2019.0
Hard rock,2020.0
Hard rock,1972.0
Hard rock,1973.0
Hard rock,1974.0
Hard rock,1975.0
Hard rock,1976.0
Hard rock,1977.0
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1981.0
Hard rock,1982.0
Hard rock,1983.0
Hard rock,1984.0
Hard rock,1985.0
Hard rock,1986.0
Hard rock,1987.0
Hard rock,1988.0
Hard rock,1989.0
Hard rock,1990.0
Hard rock,1991.0
Hard rock,1992.0
Hard rock,1993.0
Hard rock,1994.0
Hard rock,1995.0
Hard rock,1996.0
Hard rock,1997.0
Hard rock,1998.0
Hard rock,1999.0
Hard rock,2000.0
Hard rock,2001.0
Hard rock,2002.0
Hard rock,2003.0
Hard rock,2004.0
Hard rock,2005.0
Hard rock,2006.0
Hard rock,2007.0
Hard rock,2008.0
Hard rock,2009.0
Hard rock,2010.0
Hard rock,2011.0
Hard rock,2012.0
Hard rock,2013.0
Hard rock,2014.0
Hard rock,2015.0
Hard rock,2016.0
Hard rock,2017.0
Hard rock,2018.0
Hard rock,2019.0
Hard rock,2020.0
Hard rock,2021.0
Hard rock,2022.0
Hard rock,2023.0
Hard rock,1961.0
Hard rock,1962.0
Hard rock,1963.0
Hard rock,1964.0
Hard rock,1965.0
Hard rock,1966.0
Hard rock,1967.0
Hard rock,1968.0
Hard rock,1969.0
Hard rock,1970.0
Hard rock,1971.0
Hard rock,1972.0
Hard rock,1973.0
Hard rock,1974.0
Hard rock,1975.0
Hard rock,1976.0
Hard rock,1977.0
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1981.0
Hard rock,1982.0
Hard rock,1983.0
Hard rock,1984.0
Hard rock,1985.0
Hard rock,1986.0
Hard rock,1987.0
Hard rock,1988.0
Hard rock,1989.0
Hard rock,1990.0
Hard rock,1991.0
Hard rock,1992.0
Hard rock,1993.0
Hard rock,1994.0
Hard rock,1995.0
Hard rock,1996.0
Hard rock,1997.0
Hard rock,1998.0
Hard rock,1999.0
Hard rock,2000.0
Hard rock,2001.0
Hard rock,2002.0
Hard rock,2003.0
Hard rock,2004.0
Hard rock,2005.0
Hard rock,2006.0
Hard rock,2007.0
Hard rock,2008.0
Hard rock,2009.0
Hard rock,2010.0
Hard rock,2011.0
Hard rock,2012.0
Hard rock,2013.0
Hard rock,2014.0
Hard rock,2015.0
Hard rock,2016.0
Hard rock,2017.0
Hard rock,2018.0
Hard rock,2019.0
Hard rock,2020.0
Hard rock,2021.0
Hard rock,2022.0
Hard rock,2023.0
Hard rock,1968.0
Hard rock,1969.0
Hard rock,1970.0
Hard rock,1971.0
Hard rock,1972.0
Hard rock,1973.0
Hard rock,1974.0
Hard rock,1975.0
Hard rock,1976.0
Hard rock,1977.0
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1973.0
Hard rock,1974.0
Hard rock,1975.0
Hard rock,1976.0
Hard rock,1977.0
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1981.0
Hard rock,1982.0
Hard rock,1983.0
Hard rock,1984.0
Hard rock,1985.0
Hard rock,1986.0
Hard rock,1987.0
Hard rock,1988.0
Hard rock,1989.0
Hard rock,1990.0
Hard rock,1991.0
Hard rock,1992.0
Hard rock,1993.0
Hard rock,1994.0
Hard rock,1995.0
Hard rock,1996.0
Hard rock,1997.0
Hard rock,1998.0
Hard rock,1999.0
Hard rock,2000.0
Hard rock,2001.0
Hard rock,2002.0
Hard rock,2003.0
Hard rock,2004.0
Hard rock,2005.0
Hard rock,2006.0
Hard rock,2007.0
Hard rock,2008.0
Hard rock,2009.0
Hard rock,2010.0
Hard rock,2011.0
Hard rock,2012.0
Hard rock,2013.0
Hard rock,2014.0
Hard rock,2015.0
Hard rock,2016.0
Hard rock,2017.0
Hard rock,2018.0
Hard rock,2019.0
Hard rock,2020.0
Hard rock,2021.0
Hard rock,2022.0
Hard rock,2023.0
Hard rock,1970.0
Hard rock,1971.0
Hard rock,1972.0
Hard rock,1973.0
Hard rock,1974.0
Hard rock,1975.0
Hard rock,1976.0
Hard rock,1977.0
Hard rock,1978.0
Hard rock,1979.0
Hard rock,1980.0
Hard rock,1981.0
