Genre,period_active
R&B,1993.0
R&B,1994.0
R&B,1995.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
R&B,2000.0
R&B,2001.0
R&B,2002.0
R&B,2003.0
R&B,2004.0
R&B,2005.0
R&B,2006.0
R&B,2007.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,1968.0
R&B,1969.0
R&B,1970.0
R&B,1971.0
R&B,1972.0
R&B,1973.0
R&B,1974.0
R&B,1975.0
R&B,1976.0
R&B,1977.0
R&B,1978.0
R&B,1979.0
R&B,1980.0
R&B,1981.0
R&B,1982.0
R&B,1983.0
R&B,1984.0
R&B,1985.0
R&B,1986.0
R&B,1987.0
R&B,1988.0
R&B,1989.0
R&B,1990.0
R&B,1991.0
R&B,1992.0
R&B,1993.0
R&B,1994.0
R&B,1995.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
R&B,2000.0
R&B,2001.0
R&B,2002.0
R&B,2003.0
R&B,2004.0
R&B,2005.0
R&B,2006.0
R&B,2007.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
R&B,2000.0
R&B,2001.0
R&B,2002.0
R&B,2003.0
R&B,2004.0
R&B,2005.0
R&B,2006.0
R&B,2007.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,1992.0
R&B,1993.0
R&B,1994.0
R&B,1995.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
R&B,2000.0
R&B,2001.0
R&B,2002.0
R&B,2003.0
R&B,2004.0
R&B,2005.0
R&B,2006.0
R&B,2007.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
R&B,1995.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
