period_active,Pop,Rock,R&b,Hip-hop,Country
1935.0,1,,,,
1936.0,1,,,,
1937.0,1,,,,
1938.0,1,,,,
1939.0,1,,,,
1940.0,1,,,,
1941.0,1,,,,
1942.0,1,,,,
1943.0,1,,,,
1944.0,1,,,,
1945.0,1,,,,
1946.0,1,,,,
1947.0,1,,,,
1948.0,1,,,,
1949.0,1,,,,
1950.0,1,,,,
1951.0,1,,,,
1952.0,1,,,,
1953.0,1,,,,
1954.0,2,,,,2.0
1955.0,2,,,,2.0
1956.0,2,,1.0,,2.0
1957.0,3,1.0,1.0,,2.0
1958.0,5,2.0,1.0,,3.0
1959.0,5,3.0,1.0,,3.0
1960.0,7,5.0,1.0,,3.0
1961.0,8,7.0,2.0,,3.0
1962.0,9,9.0,2.0,,3.0
1963.0,10,9.0,2.0,,3.0
1964.0,15,14.0,3.0,,3.0
1965.0,15,14.0,3.0,,3.0
1966.0,17,16.0,3.0,,3.0
1967.0,19,19.0,3.0,,4.0
1968.0,22,21.0,5.0,,4.0
1969.0,23,21.0,6.0,,4.0
1970.0,23,21.0,6.0,,4.0
1971.0,22,22.0,6.0,,4.0
1972.0,22,23.0,6.0,,5.0
1973.0,24,24.0,6.0,,5.0
1974.0,24,24.0,6.0,,5.0
1975.0,24,24.0,6.0,,5.0
1976.0,25,28.0,7.0,,5.0
1977.0,27,30.0,8.0,,5.0
1978.0,26,30.0,8.0,,4.0
1979.0,27,31.0,8.0,,4.0
1980.0,27,32.0,8.0,,4.0
1981.0,29,32.0,8.0,,5.0
1982.0,30,32.0,9.0,,5.0
1983.0,29,32.0,9.0,,5.0
1984.0,28,32.0,9.0,,5.0
1985.0,28,32.0,9.0,,5.0
1986.0,28,32.0,9.0,,5.0
1987.0,27,31.0,9.0,,5.0
1988.0,29,32.0,10.0,1.0,5.0
1989.0,29,32.0,11.0,2.0,6.0
1990.0,29,32.0,11.0,2.0,7.0
1991.0,30,32.0,12.0,3.0,7.0
1992.0,31,32.0,13.0,3.0,7.0
1993.0,33,33.0,14.0,3.0,7.0
1994.0,33,34.0,14.0,3.0,7.0
1995.0,34,34.0,16.0,4.0,7.0
1996.0,36,33.0,17.0,9.0,7.0
1997.0,37,33.0,18.0,8.0,7.0
1998.0,39,33.0,18.0,8.0,7.0
1999.0,39,33.0,18.0,8.0,7.0
2000.0,39,33.0,18.0,8.0,7.0
2001.0,41,33.0,19.0,9.0,8.0
2002.0,41,33.0,19.0,9.0,8.0
2003.0,41,33.0,19.0,9.0,8.0
2004.0,41,33.0,20.0,9.0,7.0
2005.0,44,33.0,22.0,11.0,7.0
2006.0,46,34.0,22.0,11.0,8.0
2007.0,47,35.0,22.0,12.0,8.0
2008.0,51,35.0,23.0,13.0,8.0
2009.0,51,34.0,23.0,13.0,8.0
2010.0,50,32.0,23.0,13.0,8.0
2011.0,50,32.0,23.0,13.0,8.0
2012.0,50,30.0,23.0,13.0,7.0
2013.0,48,30.0,22.0,14.0,7.0
2014.0,48,30.0,22.0,14.0,7.0
2015.0,48,31.0,22.0,14.0,7.0
2016.0,49,31.0,22.0,14.0,7.0
2017.0,46,30.0,21.0,14.0,7.0
2018.0,45,28.0,21.0,14.0,7.0
2019.0,45,28.0,20.0,14.0,7.0
2020.0,45,28.0,19.0,13.0,7.0
2021.0,44,28.0,19.0,13.0,6.0
2022.0,44,28.0,19.0,13.0,6.0
2023.0,43,27.0,19.0,13.0,6.0
